CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_2nd_1_8_21r"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:46:17"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
28	\1	  170.00	  170.00	    0.00	 0.28109	 0.29994	 0.02207	   61.65	   -3.16	   74.07	    0.0134	    0.0143	    0.0149	    0.0153	    0.0142	    0.0120	    0.0107	    0.0104	    0.0118	    0.0143	    0.0187	    0.0419	    0.1296	    0.2341	    0.2851	    0.3072	    0.3222	    0.3225	    0.3179	    0.3253	    0.3327	    0.3355	    0.3339	    0.3331	    0.3379	    0.3466	    0.3588	    0.3732	    0.3871	    0.3957	    0.3986	    0.3982	    0.3963	    0.3973	    0.4104	    0.4333	
29	]1	    0.00	  255.00	    0.00	 0.06321	 0.18112	 0.04638	   49.63	  -81.29	   36.55	    0.0205	    0.0218	    0.0228	    0.0234	    0.0226	    0.0216	    0.0211	    0.0221	    0.0244	    0.0300	    0.0520	    0.1434	    0.3321	    0.4713	    0.4767	    0.4086	    0.3159	    0.2154	    0.1275	    0.0739	    0.0482	    0.0362	    0.0284	    0.0237	    0.0227	    0.0242	    0.0279	    0.0347	    0.0434	    0.0478	    0.0457	    0.0406	    0.0347	    0.0330	    0.0412	    0.0660	
30	^1	  255.00	  170.00	  255.00	 0.66629	 0.56958	 0.60009	   80.16	   27.58	  -14.07	    0.4499	    0.4796	    0.5004	    0.5135	    0.6051	    0.7405	    0.7758	    0.7707	    0.7651	    0.7555	    0.7169	    0.6539	    0.5970	    0.5213	    0.4408	    0.4186	    0.4367	    0.4169	    0.4138	    0.5078	    0.6370	    0.7253	    0.7699	    0.7927	    0.8054	    0.8137	    0.8222	    0.8308	    0.8389	    0.8456	    0.8507	    0.8552	    0.8607	    0.8640	    0.8628	    0.8626	
31	_1	   85.00	   85.00	    0.00	 0.07406	 0.07529	 0.01122	   32.98	    1.42	   36.72	    0.0087	    0.0093	    0.0097	    0.0100	    0.0098	    0.0096	    0.0093	    0.0092	    0.0097	    0.0111	    0.0139	    0.0212	    0.0398	    0.0588	    0.0683	    0.0733	    0.0758	    0.0754	    0.0747	    0.0778	    0.0837	    0.0879	    0.0886	    0.0889	    0.0912	    0.0950	    0.1002	    0.1063	    0.1124	    0.1167	    0.1182	    0.1189	    0.1183	    0.1197	    0.1257	    0.1363	
32	`1	   16.00	   16.00	   16.00	 0.00837	 0.00744	 0.00659	    6.72	    4.83	   -0.85	    0.0059	    0.0063	    0.0066	    0.0067	    0.0067	    0.0071	    0.0078	    0.0081	    0.0084	    0.0085	    0.0088	    0.0086	    0.0078	    0.0071	    0.0064	    0.0061	    0.0061	    0.0060	    0.0059	    0.0064	    0.0074	    0.0084	    0.0092	    0.0094	    0.0094	    0.0100	    0.0116	    0.0138	    0.0163	    0.0182	    0.0191	    0.0196	    0.0201	    0.0210	    0.0225	    0.0261	
33	a1	    0.00	   85.00	   85.00	 0.01269	 0.01962	 0.04997	   15.28	  -16.81	  -24.60	    0.0266	    0.0284	    0.0296	    0.0304	    0.0359	    0.0464	    0.0560	    0.0629	    0.0672	    0.0703	    0.0708	    0.0675	    0.0626	    0.0559	    0.0464	    0.0355	    0.0248	    0.0146	    0.0074	    0.0043	    0.0033	    0.0030	    0.0028	    0.0028	    0.0028	    0.0029	    0.0030	    0.0032	    0.0037	    0.0039	    0.0038	    0.0034	    0.0033	    0.0038	    0.0044	    0.0068	
34	A2	  255.00	    0.00	  170.00	 0.35388	 0.17436	 0.07289	   48.80	   78.65	   22.66	    0.1197	    0.1276	    0.1331	    0.1366	    0.1539	    0.1631	    0.1341	    0.1006	    0.0750	    0.0549	    0.0361	    0.0214	    0.0130	    0.0073	    0.0047	    0.0039	    0.0039	    0.0039	    0.0046	    0.0142	    0.1013	    0.3190	    0.5279	    0.6598	    0.7341	    0.7747	    0.7995	    0.8156	    0.8264	    0.8341	    0.8421	    0.8486	    0.8552	    0.8587	    0.8579	    0.8554	
35	B2	   24.00	   24.00	   24.00	 0.01156	 0.01016	 0.00943	    9.12	    6.13	   -1.74	    0.0059	    0.0063	    0.0066	    0.0068	    0.0083	    0.0102	    0.0111	    0.0117	    0.0121	    0.0129	    0.0125	    0.0119	    0.0109	    0.0097	    0.0086	    0.0081	    0.0082	    0.0080	    0.0078	    0.0086	    0.0101	    0.0118	    0.0128	    0.0130	    0.0131	    0.0140	    0.0159	    0.0188	    0.0219	    0.0240	    0.0252	    0.0257	    0.0255	    0.0267	    0.0290	    0.0329	
36	C2	  255.00	    0.00	  170.00	 0.35562	 0.17537	 0.07437	   48.93	   78.70	   22.28	    0.1220	    0.1301	    0.1357	    0.1392	    0.1566	    0.1657	    0.1364	    0.1027	    0.0769	    0.0563	    0.0371	    0.0221	    0.0132	    0.0073	    0.0046	    0.0038	    0.0037	    0.0038	    0.0046	    0.0146	    0.1039	    0.3235	    0.5319	    0.6626	    0.7358	    0.7755	    0.7998	    0.8156	    0.8260	    0.8338	    0.8416	    0.8478	    0.8545	    0.8587	    0.8583	    0.8563	
37	D2	  255.00	  255.00	  170.00	 0.76608	 0.83301	 0.40073	   93.15	   -7.36	   30.98	    0.2782	    0.2966	    0.3095	    0.3176	    0.3568	    0.4131	    0.4345	    0.4489	    0.4664	    0.4915	    0.5380	    0.6280	    0.7477	    0.8276	    0.8570	    0.8622	    0.8619	    0.8587	    0.8522	    0.8499	    0.8449	    0.8426	    0.8420	    0.8432	    0.8459	    0.8496	    0.8557	    0.8622	    0.8684	    0.8739	    0.8797	    0.8838	    0.8888	    0.8920	    0.8911	    0.8929	
