DESCRIPTOR	"Chart 400 Patches"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
340	-	  127.50	    0.00	  255.00	
341	-	  170.00	    0.00	  255.00	
342	-	  212.50	    0.00	  255.00	
343	-	  255.00	    0.00	  255.00	
344	-	    0.00	   36.43	  255.00	
345	-	   42.50	   36.43	  255.00	
346	-	   85.00	   36.43	  255.00	
347	-	  127.50	   36.43	  255.00	
348	-	  170.00	   36.43	  255.00	
349	-	  212.50	   36.43	  255.00	
350	-	  255.00	   36.43	  255.00	
351	-	    0.00	   72.86	  255.00	
352	-	   42.50	   72.86	  255.00	
353	-	   85.00	   72.86	  255.00	
354	-	  127.50	   72.86	  255.00	
355	-	  170.00	   72.86	  255.00	
356	-	  212.50	   72.86	  255.00	
357	-	  255.00	   72.86	  255.00	
358	-	    0.00	  109.29	  255.00	
359	-	   42.50	  109.29	  255.00	
360	-	   85.00	  109.29	  255.00	
361	-	  127.50	  109.29	  255.00	
362	-	  170.00	  109.29	  255.00	
363	-	  212.50	  109.29	  255.00	
364	-	  255.00	  109.29	  255.00	
365	-	    0.00	  145.71	  255.00	
366	-	   42.50	  145.71	  255.00	
367	-	   85.00	  145.71	  255.00	
368	-	  127.50	  145.71	  255.00	
369	-	  170.00	  145.71	  255.00	
370	-	  212.50	  145.71	  255.00	
371	-	  255.00	  145.71	  255.00	
372	-	    0.00	  182.14	  255.00	
373	-	   42.50	  182.14	  255.00	
374	-	   85.00	  182.14	  255.00	
375	-	  127.50	  182.14	  255.00	
376	-	  170.00	  182.14	  255.00	
377	-	  212.50	  182.14	  255.00	
378	-	  255.00	  182.14	  255.00	
379	-	    0.00	  218.57	  255.00	
380	-	   42.50	  218.57	  255.00	
381	-	   85.00	  218.57	  255.00	
382	-	  127.50	  218.57	  255.00	
383	-	  170.00	  218.57	  255.00	
384	-	  212.50	  218.57	  255.00	
385	-	  255.00	  218.57	  255.00	
386	-	    0.00	  255.00	  255.00	
387	-	   42.50	  255.00	  255.00	
388	-	   85.00	  255.00	  255.00	
389	-	  127.50	  255.00	  255.00	
390	-	  170.00	  255.00	  255.00	
391	-	  212.50	  255.00	  255.00	
392	-	  255.00	  255.00	  255.00	
393	-	   85.00	   85.00	   85.00	
394	-	  170.00	  170.00	  170.00	
395	-	   85.00	    0.00	    0.00	
396	-	  170.00	    0.00	    0.00	
397	-	    0.00	   72.86	    0.00	
398	-	    0.00	  182.14	    0.00	
399	-	    0.00	    0.00	   85.00	
400	-	    0.00	    0.00	  170.00	
END_DATA
