CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"i400_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
29	29	    0.00	  145.00	    0.00	 0.02089	 0.05639	 0.01808	   28.48	  -52.35	   20.73	  0.0111	  0.0118	  0.0124	  0.0126	  0.0124	  0.0119	  0.0115	  0.0115	  0.0124	  0.0143	  0.0210	  0.0478	  0.1036	  0.1434	  0.1461	  0.1275	  0.0988	  0.0656	  0.0376	  0.0221	  0.0154	  0.0124	  0.0105	  0.0094	  0.0091	  0.0092	  0.0098	  0.0113	  0.0132	  0.0142	  0.0136	  0.0123	  0.0109	  0.0108	  0.0136	    0.02
30	30	   42.00	  145.00	    0.00	 0.04171	 0.07468	 0.01516	   32.85	  -35.04	   31.45	  0.0106	  0.0114	  0.0119	  0.0121	  0.0118	  0.0109	  0.0099	  0.0096	  0.0102	  0.0117	  0.0157	  0.0340	  0.0813	  0.1245	  0.1384	  0.1343	  0.1208	  0.0984	  0.0730	  0.0548	  0.0439	  0.0377	  0.0331	  0.0300	  0.0296	  0.0312	  0.0345	  0.0400	  0.0464	  0.0497	  0.0486	  0.0455	  0.0413	  0.0397	  0.0453	    0.06
31	31	   85.00	  145.00	    0.00	 0.08946	 0.12065	 0.01614	   41.32	  -20.72	   44.93	  0.0107	  0.0115	  0.0119	  0.0123	  0.0117	  0.0109	  0.0100	  0.0097	  0.0103	  0.0119	  0.0157	  0.0341	  0.0877	  0.1416	  0.1639	  0.1683	  0.1644	  0.1499	  0.1296	  0.1141	  0.1036	  0.0966	  0.0902	  0.0859	  0.0864	  0.0905	  0.0972	  0.1071	  0.1177	  0.1234	  0.1230	  0.1191	  0.1132	  0.1108	  0.1199	    0.14
32	32	  127.00	  145.00	    0.00	 0.16078	 0.17849	 0.01727	   49.31	   -6.32	   57.50	  0.0113	  0.0119	  0.0125	  0.0128	  0.0124	  0.0112	  0.0102	  0.0099	  0.0109	  0.0127	  0.0166	  0.0348	  0.0925	  0.1547	  0.1835	  0.1953	  0.2014	  0.1968	  0.1881	  0.1872	  0.1890	  0.1890	  0.1856	  0.1832	  0.1860	  0.1924	  0.2019	  0.2142	  0.2264	  0.2336	  0.2348	  0.2327	  0.2288	  0.2288	  0.2393	    0.26
33	33	  170.00	  145.00	    0.00	 0.24831	 0.24517	 0.01840	   56.60	    5.17	   68.88	  0.0126	  0.0133	  0.0139	  0.0143	  0.0136	  0.0116	  0.0103	  0.0099	  0.0110	  0.0130	  0.0164	  0.0337	  0.0985	  0.1760	  0.2161	  0.2339	  0.2403	  0.2350	  0.2329	  0.2509	  0.2849	  0.3087	  0.3130	  0.3137	  0.3189	  0.3279	  0.3401	  0.3548	  0.3688	  0.3776	  0.3803	  0.3793	  0.3765	  0.3779	  0.3900	    0.41
34	34	  212.00	  145.00	    0.00	 0.37523	 0.33285	 0.02001	   64.39	   18.53	   80.71	  0.0137	  0.0146	  0.0152	  0.0157	  0.0148	  0.0128	  0.0112	  0.0106	  0.0120	  0.0143	  0.0176	  0.0324	  0.0986	  0.1939	  0.2528	  0.2785	  0.2794	  0.2687	  0.2729	  0.3166	  0.4101	  0.4868	  0.5110	  0.5193	  0.5278	  0.5381	  0.5511	  0.5653	  0.5784	  0.5877	  0.5936	  0.5962	  0.5978	  0.6010	  0.6092	    0.62
35	35	  255.00	  145.00	    0.00	 0.54972	 0.45627	 0.02252	   73.30	   29.67	   93.76	  0.0155	  0.0166	  0.0173	  0.0177	  0.0162	  0.0132	  0.0114	  0.0111	  0.0128	  0.0164	  0.0206	  0.0345	  0.1058	  0.2259	  0.3087	  0.3444	  0.3454	  0.3294	  0.3360	  0.4046	  0.5623	  0.7178	  0.7876	  0.8142	  0.8257	  0.8319	  0.8381	  0.8439	  0.8491	  0.8543	  0.8619	  0.8686	  0.8751	  0.8788	  0.8785	    0.88
36	36	    0.00	  182.00	    0.00	 0.02723	 0.08264	 0.02378	   34.53	  -65.52	   25.81	  0.0121	  0.0128	  0.0134	  0.0137	  0.0138	  0.0132	  0.0126	  0.0127	  0.0137	  0.0162	  0.0257	  0.0680	  0.1609	  0.2278	  0.2289	  0.1944	  0.1461	  0.0928	  0.0499	  0.0275	  0.0181	  0.0142	  0.0117	  0.0104	  0.0099	  0.0101	  0.0109	  0.0126	  0.0154	  0.0166	  0.0160	  0.0141	  0.0125	  0.0123	  0.0153	    0.03
37	37	   42.00	  182.00	    0.00	 0.05730	 0.11492	 0.02103	   40.39	  -47.98	   38.39	  0.0121	  0.0129	  0.0135	  0.0138	  0.0135	  0.0122	  0.0111	  0.0106	  0.0115	  0.0136	  0.0195	  0.0517	  0.1371	  0.2149	  0.2354	  0.2225	  0.1936	  0.1510	  0.1065	  0.0756	  0.0582	  0.0486	  0.0414	  0.0368	  0.0361	  0.0381	  0.0425	  0.0500	  0.0588	  0.0635	  0.0617	  0.0566	  0.0506	  0.0483	  0.0562	    0.08
38	38	   85.00	  182.00	    0.00	 0.11034	 0.16667	 0.02170	   47.83	  -32.42	   50.60	  0.0137	  0.0147	  0.0153	  0.0157	  0.0147	  0.0129	  0.0116	  0.0111	  0.0121	  0.0141	  0.0188	  0.0455	  0.1319	  0.2239	  0.2599	  0.2613	  0.2470	  0.2158	  0.1766	  0.1463	  0.1262	  0.1135	  0.1028	  0.0955	  0.0953	  0.1001	  0.1089	  0.1220	  0.1364	  0.1441	  0.1420	  0.1350	  0.1259	  0.1217	  0.1336	    0.17
39	39	  127.00	  182.00	    0.00	 0.18421	 0.23182	 0.02251	   55.26	  -19.18	   62.66	  0.0138	  0.0148	  0.0154	  0.0158	  0.0149	  0.0131	  0.0117	  0.0113	  0.0124	  0.0144	  0.0187	  0.0430	  0.1322	  0.2375	  0.2862	  0.2997	  0.2993	  0.2814	  0.2539	  0.2333	  0.2181	  0.2071	  0.1961	  0.1885	  0.1900	  0.1974	  0.2095	  0.2267	  0.2444	  0.2536	  0.2526	  0.2462	  0.2363	  0.2325	  0.2470	    0.28
